"RevCode","Description"
"539","Osteopathic Services-Other Osteopathic Services"
"540","Ambulance-General"
"541","Ambulance-Supplies"
"542","Ambulance-Medical Transport"
"543","Ambulance-Heart Mobile"
"544","Ambulance-Oxygen"
"545","Ambulance-Air Ambulance"
"546","Ambulance-Neonatal Ambulance Services"
"547","Ambulance-Pharmacy"
"548","Ambulance-Telephone EKG Transmission"
"549","Ambulance-Other Ambulance"
"550","Skilled Nursing-General"
"551","Skilled Nursing-Visit Charge"
"552","Skilled Nursing-Hourly Charge"
"559","Skilled Nursing-Other Skilled Nursing"
"560","Home Health (HH)-Medical Social Services-General"
"561","Home Health (HH)-Medical Social Services-Visit Charge"
"562","Home Health (HH)-Medical Social Services-Hourly Charge"
"569","Home Health (HH)-Medical Social Services-Other Medical Social Services"
"570","Home Health (HH) Aide-General"
"571","Home Health (HH) Aide-Visit Charge"
"572","Home Health (HH) Aide-Hourly Charge"
"579","Home Health (HH) Aide-Other Home Health Aide"
"580","Home Health (HH)-Other Visits-General"
"581","Home Health (HH)-Other Visits-Visit Charge"
"582","Home Health (HH)-Other Visits-Hourly Charge"
"583","Home Health (HH)-Other Visits-Assessment"
"589","Home Health (HH)-Other Visits-Other Home Health Visits"
"590","Home Health (HH) Units of Service-General"
"600","Home Health (HH)-Oxygen-General"
"601","Home Health (HH)-Oxygen-Stat Equip/Supply/Contents"
"602","Home Health (HH)-Oxygen-Stat Equip/Supply<1 LPM"
"603","Home Health (HH)-Oxygen-Stat Equip/Supply>4 LPM"
"604","Home Health (HH)-Oxygen-Oxygen Port Add-On"
"609","Home Health (HH)-Oxygen-Oxygen-Other"
"610","Magnetic Resonance Technology-General"
"611","Magnetic Resonance Technology-MRI-Brain/Brain Stem"
"612","Magnetic Resonance Technology-MRI-Spinal Cord/Spine"
"614","Magnetic Resonance Technology-MRI-Other"
"615","Magnetic Resonance Technology-MRA-Head and Neck"
"616","Magnetic Resonance Technology-MRA-Lower Extremities"
"618","Magnetic Resonance Technology-MRA-Other"
"619","Magnetic Resonance Technology-Other MRT"
"621","Medical/Surgical Supplies-Extension of 027X-Supplies Incident to Radiology"
"622","Medical/Surgical Supplies-Extension of 027X-Supplies Incident to Other DX Services"
"623","Medical/Surgical Supplies-Extension of 027X-Surgical Dressings"
"624","Medical/Surgical Supplies-Extension of 027X-FDA Investigational Devices"
"631","Pharmacy-Extension of 025X-Single Source Drug"
"632","Pharmacy-Extension of 025X-Multiple Source Drug"
"633","Pharmacy-Extension of 025X-Restrictive Prescription"
"634","Pharmacy-Extension of 025X-Erythropoietin (EPO) <10,000 Units"
"635","Pharmacy-Extension of 025X-Erythropoietin (EPO) >=10,000 Units"
"636","Pharmacy-Extension of 025X-Drugs Requiring Detailed Coding"
"637","Pharmacy-Extension of 025X-Self-Administrable Drugs"
"640","Home IV Therapy Services-General"
"641","Home IV Therapy Services-Nonroutine Nursing, Central Line"
"642","Home IV Therapy Services-IV Site Care, Central Line"
"643","Home IV Therapy Services-IV Start/Care, Peripheral Line"
"644","Home IV Therapy Services-Nonroutine Nursing, Peripheral Line"
"645","Home IV Therapy Services-Training Patient/Caregiver, Central Line"
"646","Home IV Therapy Services-Training, Disabled Patient, Central Line"
"647","Home IV Therapy Services-Training, Patient/Caregiver, Peripheral Line"
"648","Home IV Therapy Services-Training, Disabled Patient, Peripheral Line"
"649","Home IV Therapy Services-Other IV Therapy Services"
"650","Hospice Service-General"
"651","Hospice Service-Routine Home Care"
"652","Hospice Service-Continuous Home Care"
"655","Hospice Service-Inpatient Respite Care"
"656","Hospice Service-General Inpatient Care Nonrespite"
"657","Hospice Service-Physician Services"
"658","Hospice Service-Hospice Room & Board-Nursing Facility"
"659","Hospice Service-Other Hospice Service"
"660","Respite Care-General"
"661","Respite Care-Hourly Charge-Nursing"
"662","Respite Care-Hourly Charge/Aide/Homemaker/Companion"
"663","Respite Care-Daily Respite Charge"
"669","Respite Care-Other Respite Care"
"670","Outpatient Special Residence Charges-General"
"671","Outpatient Special Residence Charges-Hospital Owned"
"672","Outpatient Special Residence Charges-Contracted"
"679","Outpatient Special Residence Charges-Other Special Residence Charges"
"681","Trauma Response-Level I"
"682","Trauma Response-Level II"
"683","Trauma Response-Level III"
"684","Trauma Response-Level IV"
"689","Trauma Response-Other Trauma Response"
"690","Prehospice/Palliative Care-General"
"691","Prehospice/Palliative Care-Visit Charge"
"692","Prehospice/Palliative Care-Hourly Charge"
"693","Prehospice/Palliative Care-Evaluation"
"694","Prehospice/Palliative Care-Consultation and Education"
"695","Prehospice/Palliative Care-Inpatient Care"
"696","Prehospice/Palliative Care-Physician Services"
"699","Prehospice-Other Prehospice/Palliative Care Services"
"700","Cast Room-General"
"710","Recovery Room-General"
"720","Labor Room/Delivery-General"
"721","Labor Room/Delivery-Labor"
"722","Labor Room/Delivery-Delivery Room"
"723","Labor Room/Delivery-Circumcision"
"724","Labor Room/Delivery-Birthing Center"
"729","Labor Room/Delivery-Other Labor Room/Delivery"
"730","EKG/ECG (Electrocardiogram)-General"
"731","EKG/ECG (Electrocardiogram)-Holter Monitor"
"732","EKG/ECG (Electrocardiogram)-Telemetry"
"739","EKG/ECG (Electrocardiogram)-Other EKG/ECG"
"740","EEG (Electroencephalogram)-General"
"750","Gastrointestinal (GI) Services-General"
"760","Specialty Services-General"
"761","Specialty Services-Treatment Room"
"762","Specialty Services-Observation Hours"
"769","Specialty Services-Other Specialty Services"
"770","Preventive Care Services-General"
"771","Preventive Care Services-Vaccine Administration"
"780","Telemedicine-General"
"790","Extra-Corporeal Shock Wave Therapy (formerly Lithotripsy)-General"
"800","Inpatient Renal Dialysis-General"
"801","Inpatient Renal Dialysis-Inpatient Hemodialysis"
"802","Inpatient Renal Dialysis-Inpatient Peritoneal (Non-CAPD)"
"803","Inpatient Renal Dialysis-Inpatient Continuous Ambulatory Peritoneal Dialysis (CAPD)"
"804","Inpatient Renal Dialysis-Inpatient Continuous Cycling Peritoneal Dialysis (CCPD)"
"809","Inpatient Renal Dialysis-Other Inpatient Dialysis"
"810","Acquisition of Body Components-General"
"811","Acquisition of Body Components-Living Donor"
"812","Acquisition of Body Components-Cadaver Donor"
"813","Acquisition of Body Components-Unknown Donor"
"814","Acquisition of Body Components-Unsuccessful Organ Search-Donor Bank Charges"
"815","Acquisition of Body Components-Stem Cells-Allogeneic"
"819","Acquisition of Body Components-Other Donor"
"820","Hemodialysis-Outpatient or Home-General"
"821","Hemodialysis-Outpatient or Home-Hemodialysis Composite or Other Rate"
"822","Hemodialysis-Outpatient or Home-Home Supplies"
"823","Hemodialysis-Outpatient or Home-Home Equipment"
"824","Hemodialysis-Outpatient or Home-Maintenance-100%"
"825","Hemodialysis-Outpatient or Home-Support Services"
"829","Hemodialysis-Outpatient or Home-Other OP Hemodialysis"
"830","Peritoneal Dialysis-Outpatient or Home-General"
"831","Peritoneal Dialysis-Outpatient or Home-Peritoneal/Composite or Other Rate"
"832","Peritoneal Dialysis-Outpatient or Home-Home Supplies"
"833","Peritoneal Dialysis-Outpatient or Home-Home Equipment"
"834","Peritoneal Dialysis-Outpatient or Home-Maintenance-100%"
"835","Peritoneal Dialysis-Outpatient or Home-Support Services"
"839","Peritoneal Dialysis-Outpatient or Home-Other Outpatient Peritoneal Dialysis"
"840","Continuous Ambulatory Peritoneal Dialysis (CAPD)-Outpatient or Home-General"
"841","Continuous Ambulatory Peritoneal Dialysis (CAPD)-Outpatient or Home-CAPD/Composite or Other Rate"
"842","Continuous Ambulatory Peritoneal Dialysis (CAPD)-Outpatient or Home-Home Supplies"
"843","Continuous Ambulatory Peritoneal Dialysis (CAPD)-Outpatient or Home-Home Equipment"
"844","Continuous Ambulatory Peritoneal Dialysis (CAPD)-Outpatient or Home-Maintenance-100%"
"845","Continuous Ambulatory Peritoneal Dialysis (CAPD)-Outpatient or Home-Support Services"
"849","Continuous Ambulatory Peritoneal Dialysis (CAPD)-Outpatient or Home-Other Outpatient CAPD"
"850","Continuous Cycling Peritoneal Dialysis (CCPD)-Outpatient or Home-General"
"851","Continuous Cycling Peritoneal Dialysis (CCPD)-Outpatient or Home-CCPD/Composite or Other Rate"
"852","Continuous Cycling Peritoneal Dialysis (CCPD)-Outpatient or Home-Home Supplies"
"853","Continuous Cycling Peritoneal Dialysis (CCPD)-Outpatient or Home-Home Equipment"
"854","Continuous Cycling Peritoneal Dialysis (CCPD)-Outpatient or Home-Maintenance-100%"
"855","Continuous Cycling Peritoneal Dialysis (CCPD)-Outpatient or Home-Support Services"
"859","Continuous Cycling Peritoneal Dialysis (CCPD)-Outpatient or Home-Other Outpatient CCPD"
"860","Magnetoencephalography (MEG) - General"
"861","Magnetoencephalography (MEG) - MEG"
"870","Cell/Gene Therapy-General"
"871","Cell/Gene Therapy-Cell Collection"
"872","Cell/Gene Therapy-Special Biologic Processing and Storage--Prior to Transport"
"873","Cell/Gene Therapy-Storage and Processing After Receipt of Cells from the Manufacturer"
"874","Cell/Gene Therapy-Infusion of Modified Cells"
"875","Cell/Gene Therapy-Injection of Modified Cells"
"880","Miscellaneous Dialysis-General"
"881","Miscellaneous Dialysis-Ultrafiltration"
"882","Miscellaneous Dialysis-Home Dialysis Aid Visit"
"889","Miscellaneous Dialysis-Other Miscellaneous Dialysis"
"891","Pharmacy-Extension of 25X and 63X-Special Processed Drugs-FDA Approved Cell Therapy"
"892","Special Processed Drugs - FDA Approved Gene Therapy"
"900","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-General"
"901","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-Electroshock Treatment"
"902","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-Milieu Therapy"
"903","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-Play Therapy"
"904","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-Activity Therapy"
"905","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-Intensive Outpatient Services-Psychiatric"
"906","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-Intensive Outpatient Services-Chemical Dependency"
"907","Behavioral Health Treatments/Services (also see 091X, an extension of 090X)-Community Behavioral Health Program (Day Treatment)"
"911","Behavioral Health Treatments/Services-Extension of 090X-Rehabilitation"
"912","Behavioral Health Treatments/Services-Extension of 090X-Partial Hospitalization-Less Intensive"
"913","Behavioral Health Treatments/Services-Extension of 090X-Partial Hospitalization-Intensive"
"914","Behavioral Health Treatments/Services-Extension of 090X-Individual Therapy"
"915","Behavioral Health Treatments/Services-Extension of 090X-Group Therapy"
"916","Behavioral Health Treatments/Services-Extension of 090X-Family Therapy"
"917","Behavioral Health Treatments/Services-Extension of 090X-Bio Feedback"
"918","Behavioral Health Treatments/Services-Extension of 090X-Testing"
"919","Behavioral Health Treatments/Services-Extension of 090X-Other Behavioral Health Treatments/Services"
"920","Other Diagnostic Services-General"
"921","Other Diagnostic Services-Peripheral Vascular Lab"
"922","Other Diagnostic Services-Electromyogram"
"923","Other Diagnostic Services-Pap Smear"
"924","Other Diagnostic Services-Allergy Test"
"925","Other Diagnostic Services-Pregnancy Test"
"929","Other Diagnostic Services-Other Diagnostic Service"
"931","Medical Rehabilitation Day Program-Half Day"
"932","Medical Rehabilitation Day Program-Full Day"
"940","Other Therapeutic Services (see also 095X, an extension of 094X)-General"
"941","Other Therapeutic Services (see also 095X, an extension of 094X)-Recreational Therapy"
"942","Other Therapeutic Services (see also 095X, an extension of 094X)-Education/Training"
"943","Other Therapeutic Services (see also 095X, an extension of 094X)-Cardiac Rehabilitation"
"944","Other Therapeutic Services (see also 095X, an extension of 094X)-Drug Rehabilitation"
"945","Other Therapeutic Services (see also 095X, an extension of 094X)-Alcohol Rehabilitation"
"946","Other Therapeutic Services (see also 095X, an extension of 094X)-Complex Medical Equipment-Routine"
"947","Other Therapeutic Services (see also 095X, an extension of 094X)-Complex Medical Equipment-Ancillary"
"948","Other Therapeutic Services (see also 095X, an extension of 094X)-Pulmonary Rehabilitation"
"949","Other Therapeutic Services (see also 095X, an extension of 094X)-Other Therapeutic Services"
"951","Other Therapeutic Services (Extension of 094X)-Athletic Training"
"952","Other Therapeutic Services (Extension of 094X)-Kinesiotherapy"
"953","Other Therapeutic Services (Extension of 094X)-Chemical Dependency (Drug and Alcohol)"
"960","Professional Fees (see also 097X and 098X)-General"
"961","Professional Fees (see also 097X and 098X)-Psychiatric"
"962","Professional Fees (see also 097X and 098X)-Ophthalmology"
"963","Professional Fees (see also 097X and 098X)-Anesthesiologist (MD)"
"964","Professional Fees (see also 097X and 098X)-Anesthetist (CRNA)"
"969","Professional Fees (see also 097X and 098X)-Other Professional Fees"
"971","Professional Fees (Extension of 096X)-Laboratory"
"972","Professional Fees (Extension of 096X)-Radiology-Diagnostic"
"973","Professional Fees (Extension of 096X)-Radiology-Therapeutic"
"974","Professional Fees (Extension of 096X)-Radiology-Nuclear Medicine"
"975","Professional Fees (Extension of 096X)-Operating Room"
"976","Professional Fees (Extension of 096X)-Respiratory Therapy"
"977","Professional Fees (Extension of 096X)-Physical Therapy"
"978","Professional Fees (Extension of 096X)-Occupational Therapy"
"979","Professional Fees (Extension of 096X)-Speech Language Pathology"
"981","Professional Fees (Extension of 096X and 097X)-Emergency Room"
"982","Professional Fees (Extension of 096X and 097X)-Outpatient Services"
"983","Professional Fees (Extension of 096X and 097X)-Clinic"
"984","Professional Fees (Extension of 096X and 097X)-Medical Social Services"
"985","Professional Fees (Extension of 096X and 097X)-EKG"
"986","Professional Fees (Extension of 096X and 097X)-EEG"
"987","Professional Fees (Extension of 096X and 097X)-Hospital Visit"
"988","Professional Fees (Extension of 096X and 097X)-Consultation"
"989","Professional Fees (Extension of 096X and 097X)-Private-Duty Nurse"
"990","Patient Convenience Items-General"
"991","Patient Convenience Items-Cafeteria/Guest Tray"
"992","Patient Convenience Items-Private Linen Service"
"993","Patient Convenience Items-Telephone/Telecom"
"994","Patient Convenience Items-TV/Radio"
"995","Patient Convenience Items-Nonpatient Room Rentals"
"996","Patient Convenience Items-Late Discharge Charge"
"997","Patient Convenience Items-Admission Kits"
"998","Patient Convenience Items-Beauty Shop/Barber"
"999","Patient Convenience Items-Other Patient Convenience Items"
"1000","Behavioral Health Accommodations-General"
"1001","Behavioral Health Accommodations-Residential -Psychiatric"
"1002","Behavioral Health Accommodations-Residential-Chemical Dependency"
"1003","Behavioral Health Accommodations-Supervised Living"
"1004","Behavioral Health Accommodations-Halfway House"
"1005","Behavioral Health Accommodations-Group Home"
"1006","Outdoor/Wilderness Behavioral Health"
"2100","Alternative Therapy Services-General"
"2101","Alternative Therapy Services-Acupuncture"
"2102","Alternative Therapy Services-Accupressure"
"2103","Alternative Therapy Services-Massage"
"2104","Alternative Therapy Services-Reflexology"
"2105","Alternative Therapy Services-Biofeedback"
"2106","Alternative Therapy Services-Hypnosis"
"2109","Alternative Therapy Services-Other Alternative Therapy Services"
"3101","Adult Care-Adult Day Care, Medical and Social-Hourly"
"3102","Adult Care-Adult Day Care, Social-Hourly"
"3103","Adult Care-Adult Day Care, Medical and Social-Daily"
"3104","Adult Care-Adult Day Care, Social-Daily"
"3105","Adult Care-Adult Foster Care-Daily"
"3109","Adult Care-Other Adult Care"
"161","Room & Board-Other-Hospital at Home"
