CPT Code,Description of Information of CPTCode
D6752,retainer crown - porcelain fused to noble metal
D6753,retainer crown - porcelain fused to titanium and titanium alloys
D6780,retainer crown - 3/4 cast high noble metal
D6781,retainer crown - 3/4 cast predominantly base metal
D6782,retainer crown - 3/4 cast noble metal
D6783,retainer crown - 3/4 porcelain/ceramic
D6784,retainer crown 3/4 - titanium and titanium alloys
D6790,retainer crown - full cast high noble metal
D6791,retainer crown - full cast predominantly base metal
D6792,retainer crown - full cast noble metal
D6793,provisional retainer crown - further treatment or completion of diagnosis necessary prior to final impression
D6794,retainer crown - titanium and titanium alloys
D6795,interim retainer crown
D6920,connector bar
D6930,re-cement or re-bond fixed partial denture
D6940,stress breaker
D6950,precision attachment
D6970,"post and core in addition to fixed partial denture retainer, indirectly fabricated"
D6972,prefabricated post and core in addition to fixed partial denture retainer
D6973,"core build up for retainer, including any pins"
D6975,coping
D6976,each additional indirectly fabricated post - same tooth
D6977,each additional prefabricated post - same tooth
D6980,fixed partial denture repair necessitated by restorative material failure
D6985,"pediatric partial denture, fixed"
D6999,"unspecified fixed prosthodontic procedure, by report"
D7111,"extraction, coronal remnants - primary tooth"
D7140,"extraction, erupted tooth or exposed root (elevation and/or forceps removal)"
D7210,"extraction, erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated"
D7220,removal of impacted tooth - soft tissue
D7230,removal of impacted tooth - partially bony
D7240,removal of impacted tooth - completely bony
D7241,"removal of impacted tooth - completely bony, with unusual surgical complications"
D7250,removal of residual tooth roots (cutting procedure)
D7251,coronectomy - intentional partial tooth removal
D7260,oroantral fistula closure
D7261,primary closure of a sinus perforation
D7270,tooth reimplantation and/or stabilization of accidentally evulsed or displaced tooth
D7272,tooth transplantation (includes reimplantation from one site to another and splinting and/or stabilization)
D7280,exposure of an unerupted tooth
D7282,mobilization of erupted or malpositioned tooth to aid eruption
D7283,placement of device to facilitate eruption of impacted tooth
D7285,"incisional biopsy of oral tissue-hard (bone, tooth)"
D7286,incisional biopsy of oral tissue-soft
D7287,exfoliative cytological sample collection
D7288,brush biopsy - transepithelial sample collection
D7290,surgical repositioning of teeth
D7291,"transseptal fiberotomy/supra crestal fiberotomy, by report"
D7292,placement of temporary anchorage device [screw retained plate] requiring flap; includes device removal
D7293,placement of temporary anchorage device requiring flap; includes device removal
D7294,placement of temporary anchorage device without flap; includes device removal
D7295,harvest of bone for use in autogenous grafting procedure
D7296,"corticotomy - one to three teeth or tooth spaces, per quadrant"
D7297,"corticotomy - four or more teeth or tooth spaces, per quadrant"
D7310,"alveoloplasty in conjunction with extractions - four or more teeth or tooth spaces, per quadrant"
D7311,"alveoloplasty in conjunction with extractions - one to three teeth or tooth spaces, per quadrant"
D7320,"alveoloplasty not in conjunction with extractions - four or more teeth or tooth spaces, per quadrant"
D7321,"alveoloplasty not in conjunction with extractions - one to three teeth or tooth spaces, per quadrant"
D7340,vestibuloplasty - ridge extension (secondary epithelialization)
D7350,"vestibuloplasty - ridge extension (including soft tissue grafts, muscle reattachment, revision of soft tissue attachment and management of hypertrophied and hyperplastic tissue)"
D7410,excision of benign lesion up to 1.25 cm
D7411,excision of benign lesion greater than 1.25 cm
D7412,"excision of benign lesion, complicated"
D7413,excision of malignant lesion up to 1.25 cm
D7414,excision of malignant lesion greater than 1.25 cm
D7415,"excision of malignant lesion, complicated"
D7440,excision of malignant tumor - lesion diameter up to 1.25 cm
D7441,excision of malignant tumor - lesion diameter greater than 1.25 cm
D7450,removal of benign odontogenic cyst or tumor - lesion diameter up to 1.25 cm
D7451,removal of benign odontogenic cyst or tumor - lesion diameter greater than 1.25 cm
D7460,removal of benign nonodontogenic cyst or tumor - lesion diameter up to 1.25 cm
D7461,removal of benign nonodontogenic cyst or tumor - lesion diameter greater than 1.25 cm
D7465,"destruction of lesion(s) by physical or chemical method, by report"
D7471,removal of lateral exostosis (maxilla or mandible)
D7472,removal of torus palatinus
D7473,removal of torus mandibularis
D7485,reduction of osseous tuberosity
D7490,radical resection of maxilla or mandible
D7510,incision and drainage of abscess - intraoral soft tissue
D7511,incision and drainage of abscess - intraoral soft tissue - complicated (includes drainage of multiple fascial spaces)
D7520,incision and drainage of abscess - extraoral soft tissue
D7521,incision and drainage of abscess - extraoral soft tissue - complicated (includes drainage of multiple fascial spaces)
D7530,"removal of foreign body from mucosa, skin, or subcutaneous alveolar tissue"
D7540,"removal of reaction producing foreign bodies, musculoskeletal system"
D7550,partial ostectomy/sequestrectomy for  removal of non-vital bone
D7560,maxillary sinusotomy for removal of tooth fragment or foreign body
D7610,"maxilla - open reduction (teeth immobilized, if present)"
D7620,"maxilla - closed reduction (teeth immobilized, if present)"
D7630,"mandible - open reduction (teeth immobilized, if present)"
D7640,"mandible - closed reduction (teeth immobilized, if present)"
D7650,malar and/or zygomatic arch - open reduction
D7660,malar and/or zygomatic arch - closed reduction
D7670,"alveolus - closed reduction, may include stabilization of teeth"
D7671,"alveolus - open reduction, may include stabilization of teeth"
D7680,facial bones - complicated reduction with fixation and multiple surgical approaches
D7710,maxilla - open reduction
D7720,maxilla - closed reduction
D7730,mandible - open reduction
D7740,mandible - closed reduction
D7750,malar and/or zygomatic arch - open reduction
D7760,malar and/or zygomatic arch - closed reduction
D7770,alveolus - open reduction stabilization of teeth
D7771,"alveolus, closed reduction stabilization of teeth"
D7780,facial bones - complicated reduction with fixation and multiple approaches
D7810,open reduction of dislocation
D7820,closed reduction of dislocation
D7830,manipulation under anesthesia
D7840,condylectomy
D7850,"surgical discectomy, with/without implant"
D7852,disc repair
D7854,synovectomy
D7856,myotomy
D7858,joint reconstruction
D7860,arthrotomy
D7865,arthroplasty
D7870,arthrocentesis
D7871,non-arthroscopic lysis and lavage
D7872,"arthroscopy - diagnosis, with or without biopsy"
D7873,arthroscopy: lavage and lysis of adhesions
D7874,arthroscopy: disc repositioning and stabilization
D7875,arthroscopy: synovectomy
D7876,arthroscopy: discectomy
D7877,arthroscopy: debridement
D7880,"occlusal orthotic device, by report"
D7881,occlusal orthotic device adjustment
D7899,"unspecified TMD therapy, by report"
D7910,suture of recent small wounds up to 5 cm
D7911,complicated suture - up to 5 cm
D7912,complicated suture - greater than 5 cm
D7920,"skin graft (identify defect covered, location and type of graft)"
D7921,collection and application of autologous blood concentrate product
D7922,"placement of intra-socket biological dressing to aid in hemostasis or clot stabilization, per site"
D7940,osteoplasty - for orthognathic deformities
D7941,osteotomy - mandibular rami
D7943,osteotomy - mandibular rami with bone graft; includes obtaining the graft
D7944,osteotomy - segmented or subapical
D7945,osteotomy - body of mandible
D7946,LeFort I (maxilla - total)
D7947,LeFort I (maxilla - segmented)
D7948,LeFort II or LeFort III (osteoplasty of facial bones for midface hypoplasia or retrusion) - without bone graft
D7949,LeFort II or LeFort III - with bone graft
D7950,"osseous, osteoperiosteal, or cartilage graft of the mandible or maxilla - autogenous or nonautogenous, by report"
D7951,sinus augmentation with bone or bone substitutes via a lateral open approach
D7952,sinus augmentation via a vertical approach
D7953,bone replacement graft for ridge preservation - per site
D7955,repair of maxillofacial soft and/or hard tissue defect
D7960,frenulectomy - also known as frenectomy or frenotomy - separate procedure not incidental to another procedure
D7961,buccal/labial frenectomy (frenulectomy)
D7962,lingual frenectomy (frenulectomy)
D7963,frenuloplasty
D7970,excision of hyperplastic tissue - per arch
D7971,excision of pericoronal gingiva
D7972,surgical reduction of fibrous tuberosity
D7979,non - surgical sialolithotomy
D7980,surgical sialolithotomy
D7981,"excision of salivary gland, by report"
D7982,sialodochoplasty
D7983,closure of salivary fistula
D7990,emergency tracheotomy
D7991,coronoidectomy
D7993,surgical placement of craniofacial implant - extra oral
D7994,surgical placement: zygomatic implant
D7995,"synthetic graft - mandible or facial bones, by report"
D7996,"implant-mandible for augmentation purposes (excluding alveolar ridge), by report"
D7997,"appliance removal (not by dentist who placed appliance), includes removal of archbar"
D7998,intraoral placement of a fixation device not in conjunction with a fracture
D7999,"unspecified oral surgery procedure, by report"
D8010,limited orthodontic treatment of the primary dentition
D8020,limited orthodontic treatment of the transitional dentition
D8030,limited orthodontic treatment of the adolescent dentition
D8040,limited orthodontic treatment of the adult dentition
D8050,interceptive orthodontic treatment of the primary dentition
D8060,interceptive orthodontic treatment of the transitional dentition
D8070,comprehensive orthodontic treatment of the transitional dentition
D8080,comprehensive orthodontic treatment of the adolescent dentition
D8090,comprehensive orthodontic treatment of the adult dentition
D8210,removable appliance therapy
D8220,fixed appliance therapy
D8660,pre-orthodontic treatment examination to monitor growth and development
D8670,periodic orthodontic treatment visit
D8680,"orthodontic retention (removal of appliances, construction and placement of retainer(s))"
D8681,removable orthodontic retainer adjustment
D8690,orthodontic treatment (alternative billing to a contract fee)
D8691,repair of orthodontic appliance
D8692,replacement of lost or broken retainer
D8693,re-cement or re-bond fixed retainer
D8694,"repair of fixed retainers, includes reattachment"
D8695,removal of fixed orthodontic appliances for reasons other than completion of treatment
D8696,repair of orthodontic appliance - maxillary
D8697,repair of orthodontic appliance - mandibular
D8698,re-cement or re-bond fixed retainer - maxillary
D8699,re-cement or re-bond fixed retainer - mandibular
D8701,"repair of fixed retainer, includes reattachment - maxillary"
D8702,"repair of fixed retainer, includes reattachment - mandibular"
D8703,replacement of lost or broken retainer - maxillary
D8704,replacement of lost or broken retainer - mandibular
D8999,"unspecified orthodontic procedure, by report"
D9110,palliative (emergency) treatment of dental pain - minor procedure
D9120,fixed partial denture sectioning
D9130,temporomandibular joint dysfunction - non-invasive physical therapies
D9210,local anesthesia not in conjunction with operative or surgical procedures
D9211,regional block anesthesia
D9212,trigeminal division block anesthesia
D9215,local anesthesia in conjunction with operative or surgical procedures
D9219,"evaluation for moderate sedation, deep sedation or general anesthesia"
D9220,deep sedation/general anesthesia - first 30 minutes
D9221,deep sedation/general anesthesia-each additional 15 minutes
D9222,deep sedation/general anesthesia - first 15 minutes
D9223,deep sedation/general anesthesia - each subsequent 15 minute increment
D9230,"inhalation of nitrous oxide/analgesia, anxiolysis"
D9239,intravenous moderate  (conscious) sedation/analgesia- first 15 minutes
D9241,intravenous moderate (conscious) sedation/analgesia-first 30 minutes
D9242,intravenous moderate (conscious) sedation/analgesia-each additional 15 minutes
D9243,intravenous moderate (conscious) sedation/analgesia - each subsequent 15 minute increment
D9248,non-intravenous conscious sedation
D9310,consultation - diagnostic service provided by dentist or physician other than requesting dentist or physician
D9311,consultation with a medical health care professional
D9410,house/extended care facility call
D9420,hospital or ambulatory surgical center call
D9430,office visit for observation (during regularly scheduled hours) - no other services performed
D9440,office visit - after regularly scheduled hours
D9450,"case presentation, detailed and extensive treatment planning"
D9610,"therapeutic parenteral drug, single administration"
D9612,"therapeutic parenteral drugs, two or more administrations, different medications"
D9613,infiltration of sustained release therapeutic drug - single or multiple sites
D9630,drugs or medicaments dispensed in the office for home use
D9910,application of desensitizing medicament
D9911,"application of desensitizing resin for cervical and/or root surface, per tooth"
D9920,"behavior management, by report"
D9930,"treatment of complications (post-surgical) - unusual circumstances, by report"
D9931,cleaning and inspection of a removable appliance
D9932,"cleaning and inspection of removable complete denture, maxillary"
D9933,"cleaning and inspection of removable complete denture, mandibular"
D9934,"cleaning and inspection of removable partial denture, maxillary"
D9935,"cleaning and inspection of removable partial denture, mandibular"
D9940,"occlusal guard, by report"
D9941,fabrication of athletic mouthguard
D9942,repair and/or reline of occlusal guard
D9943,occlusal guard adjustment
D9944,"occlusal guard - hard appliance, full arch"
D9945,"occlusal guard - soft appliance, full arch"
D9946,"occlusal guard - hard appliance, partial arch"
D9950,occlusion analysis - mounted case
D9951,occlusal adjustment - limited
D9952,occlusal adjustment - complete
D9961,duplicate/copy patient's records
D9970,enamel microabrasion
D9971,odontoplasty - per tooth
D9972,external bleaching - per arch - performed in office
D9973,external bleaching - per tooth
D9974,internal bleaching - per tooth
D9975,"external bleaching for home application, per arch; includes materials and fabrication of custom trays"
D9985,sales tax
D9986,missed appointment
D9987,cancelled appointment
D9990,certified translation or sign-language services - per visit
D9991,dental case management - addressing appointment compliance barriers
D9992,dental case management - care coordination
D9993,dental case management - motivational interviewing
D9994,dental case management - patient education to improve oral health literacy
D9995,teledentistry - synchronous; real-time encounter
D9996,teledentistry - asynchronous; information stored and forwarded to dentist for subsequent review
D9997,dental case management - patients with special health care needs
D9999,"unspecified adjunctive procedure, by report"
E0100,"Cane, includes canes of all materials, adjustable or fixed, with tip"
E0105,"Cane, quad or three-prong, includes canes of all materials, adjustable or fixed, with tips"
E0110,"Crutches, forearm, includes crutches of various materials, adjustable or fixed, pair, complete with tips and handgrips"
E0111,"Crutch, forearm, includes crutches of various materials, adjustable or fixed, each, with tip and handgrips"
E0112,"Crutches, underarm, wood, adjustable or fixed, pair, with pads, tips, and handgrips"
E0113,"Crutch, underarm, wood, adjustable or fixed, each, with pad, tip, and handgrip"
E0114,"Crutches, underarm, other than wood, adjustable or fixed, pair, with pads, tips, and handgrips"
E0116,"Crutch, underarm, other than wood, adjustable or fixed, with pad, tip, handgrip, with or without shock absorber, each"
E0117,"Crutch, underarm, articulating, spring assisted, each"
E0118,"Crutch substitute, lower leg platform, with or without wheels, each"
E0130,"Walker, rigid (pickup), adjustable or fixed height"
E0135,"Walker, folding (pickup), adjustable or fixed height"
E0140,"Walker, with trunk support, adjustable or fixed height, any type"
E0141,"Walker, rigid, wheeled, adjustable or fixed height"
E0142,"Rigid walker, wheeled, with seat"
E0143,"Walker, folding, wheeled, adjustable or fixed height"
E0144,"Walker, enclosed, four-sided framed, rigid or folding, wheeled with posterior seat"
E0145,"Walker, wheeled, with seat and crutch attachments"
E0146,"Folding walker, wheeled, with seat"
E0147,"Walker, heavy-duty, multiple braking system, variable wheel resistance"
E0148,"Walker, heavy-duty, without wheels, rigid or folding, any type, each"
E0149,"Walker, heavy-duty, wheeled, rigid or folding, any type"
E0153,"Platform attachment, forearm crutch, each"
E0154,"Platform attachment, walker, each"
E0155,"Wheel attachment, rigid pick-up walker, per pair"
E0156,"Seat attachment, walker"
E0157,"Crutch attachment, walker, each"
E0158,"Leg extensions for walker, per set of four"
E0159,"Brake attachment for wheeled walker, replacement, each"
E0160,"Sitz type bath or equipment, portable, used with or without commode"
E0161,"Sitz type bath or equipment, portable, used with or without commode, with faucet attachment(s)"
E0162,Sitz bath chair
E0163,"Commode chair, mobile or stationary, with fixed arms"
E0164,"Commode chair, mobile, with fixed arms"
E0165,"Commode chair, mobile or stationary, with detachable arms"
E0166,"Commode chair, mobile, with detachable arms"
E0167,"Pail or pan for use with commode chair, replacement only"
E0168,"Commode chair, extra wide and/or heavy-duty, stationary or mobile, with or without arms, any type, each"
E0169,Commode chair with seat lift mechanism
E0170,"Commode chair with integrated seat lift mechanism, electric, any type"
E0171,"Commode chair with integrated seat lift mechanism, nonelectric, any type"
E0172,"Seat lift mechanism placed over or on top of toilet, any type"
E0175,"Footrest, for use with commode chair, each"
E0176,"Air pressure pad or cushion, nonpositioning"
E0177,"Water pressure pad or cushion, nonpositioning"
E0178,"Gel or gel-like pressure pad or cushion, nonpositioning"
E0179,"Dry pressure pad or cushion, nonpositioning"
E0180,"Pressure pad, alternating with pump"
